Gene Marker Symbol_x,Gene MGI Accession ID_x,Viability
Tgm3,MGI:98732,Viable
Thoc6,MGI:2677480,Lethal
Tldc1,MGI:1921597,Viable
Tlr11,MGI:3045226,Viable
Tlr12,MGI:3045221,Viable
Tlr2,MGI:1346060,Viable
Tm2d1,MGI:2137022,Lethal
Tm6sf2,MGI:1933210,Viable
Tmcc3,MGI:2442900,Viable
Tmem160,MGI:1916344,Viable
Tmem203,MGI:2443597,Viable
Tmem70,MGI:1915068,Lethal
Tmem74,MGI:2443417,Viable
Tmem87b,MGI:1919727,Viable
Tmigd1,MGI:1913851,Viable
Tnks1bp1,MGI:2446193,Viable
Toe1,MGI:1915526,Lethal
Tomm22,MGI:2450248,Lethal
Tomm40,MGI:1858259,Lethal
Tox2,MGI:3611233,Viable
Tpd52l1,MGI:1298386,Viable
Trav1,MGI:3651476,Viable
Trbv19,MGI:98604,Viable
Trf,MGI:98821,Lethal
Trh,MGI:98823,Viable
Trim21,MGI:106657,Viable
Trim37,MGI:2153072,Viable
Trim8,MGI:1933302,Viable
Trip13,MGI:1916966,Viable
Trps1,MGI:1927616,Lethal
Tsks,MGI:1347560,Viable
Tspan14,MGI:1196325,Lethal
Ttc32,MGI:1922766,Viable
Ttll10,MGI:1921855,Viable
Tuba8,MGI:1858225,Viable
Tubb2a,MGI:107861,Viable
Tubgcp4,MGI:1196293,Lethal
Tusc1,MGI:2684283,Viable
Ube2e1,MGI:107411,Viable
Ubiad1,MGI:1918957,Lethal
Ubn1,MGI:1891307,Viable
Uchl5,MGI:1914848,Lethal
Ufm1,MGI:1915140,Lethal
Ulk3,MGI:1918992,Viable
Unc5c,MGI:1095412,Lethal
Upf3a,MGI:1914281,Viable
Upf3b,MGI:1915384,Viable
Usp13,MGI:1919857,Viable
Usp15,MGI:101857,Viable
Usp29,MGI:1888998,Viable
Usp30,MGI:2140991,Viable
Usp32,MGI:2144475,Lethal
Usp37,MGI:2442483,Lethal
Usp40,MGI:2443184,Viable
Usp43,MGI:2444541,Viable
Usp45,MGI:101850,Viable
Vars2,MGI:1916165,Lethal
Vgf,MGI:1343180,Viable
Vgll3,MGI:1920819,Viable
Vopp1,MGI:2141658,Viable
Vpreb3,MGI:98938,Viable
Vps11,MGI:1918982,Lethal
Vps33a,MGI:1924823,Lethal
Vrk1,MGI:1261847,Lethal
Vrk3,MGI:2182465,Viable
Vwa2,MGI:2684334,Viable
Vwa5a,MGI:1915026,Viable
Wasf2,MGI:1098641,Lethal
Wdfy4,MGI:3584510,Viable
Wdr12,MGI:1927241,Lethal
Wdr17,MGI:1924662,Viable
Wdr62,MGI:1923696,Viable
Wdr81,MGI:2681828,Lethal
Wee2,MGI:3027899,Viable
Wfdc11,MGI:3651686,Viable
Wscd2,MGI:2445030,Viable
Wwp1,MGI:1861728,Viable
Xpo5,MGI:1913789,Lethal
Ythdc2,MGI:2448561,Viable
Zc3h12b,MGI:2442133,Viable
Zc3h4,MGI:2682314,Lethal
Zfp174,MGI:2686600,Viable
Zfp219,MGI:1917140,Viable
Zfp329,MGI:1921283,Viable
Zfp422,MGI:1914505,Viable
Zfp54,MGI:99201,Viable
Zfp560,MGI:1915280,Viable
Zfp579,MGI:1915740,Viable
Zfp612,MGI:2443465,Viable
Zfp641,MGI:2442788,Viable
Zfp692,MGI:2144276,Viable
Zfp763,MGI:1920701,Viable
